cores freq perf power
0xF0 2000000 0.883532103087684 0.939892332732453
0xF0 1900000 0.881980776164645 0.856517478845485
0xF0 1800000 0.890981236775625 0.771007376289998
0xF0 1700000 0.884451649933141 0.681720808066765
0xF0 1600000 0.838347975280175 0.590919155245831
0xF0 1500000 0.798221341687585 0.513950937289286
0xF0 1400000 0.751552347545674 0.457611605267346
0xF0 1300000 0.702428993483846 0.431185980075006
0xF0 1200000 0.665001942834613 0.372386748279068
0xF0 1100000 0.616894566508783 0.329318326111013
0xF0 1000000 0.566779968846022 0.29138970334952
0xF0 900000 0.519125428122387 0.256147965777912
0xF0 800000 0.468917072875737 0.226457221898749
0xF0 700000 0.426377415228443 0.204564124443568
0xF0 600000 0.327202256370607 0.177052979608218
0xF0 500000 0.302457240986051 0.162280539869411
0xF0 400000 0.246654546202449 0.139790681273945
0xF0 300000 0.187762460706923 0.117407205245535
0xF0 200000 0.12305744944023 0.0909721159985977
0x70 2000000 0.739002084233924 0.850605071826627
0x70 1900000 0.755312900734884 0.766388376412924
0x70 1800000 0.73126916426204 0.654704413408998
0x70 1700000 0.716570721725013 0.56279162423507
0x70 1600000 0.685402048149209 0.491895366952332
0x70 1500000 0.650931204769962 0.430611518806146
0x70 1400000 0.614675318673688 0.385796175783387
0x70 1300000 0.57831784324414 0.35421155914226
0x70 1200000 0.556239061019248 0.315371891787261
0x70 1100000 0.45649712356206 0.270082492493624
0x70 1000000 0.472780003334842 0.24998513959151
0x70 900000 0.42834654509373 0.220396328013906
0x70 800000 0.374175534226624 0.197201818990712
0x70 700000 0.332004652177497 0.178221088780044
0x70 600000 0.290587129226532 0.160215505077596
0x70 500000 0.24578257722418 0.142977247126469
0x70 400000 0.163305014699494 0.113825766839533
0x70 300000 0.147960077974481 0.104552736784045
0x70 200000 0.0970308461858587 0.0830517157400607
0x30 2000000 0.579225460890435 0.727078448362782
0x30 1900000 0.554596027661429 0.582144170514055
0x30 1800000 0.550522859420886 0.520580056462078
0x30 1700000 0.523704331434757 0.456234247957088
0x30 1600000 0.441667257100598 0.36873992069691
0x30 1500000 0.472612863807247 0.349449028833948
0x30 1400000 0.451266308494463 0.314392139207396
0x30 1300000 0.423994458915966 0.291203461641344
0x30 1200000 0.385193156697306 0.260881460497118
0x30 1100000 0.35681608626419 0.233346926540498
0x30 1000000 0.327797303656207 0.208163188550973
0x30 900000 0.251379614155477 0.163498750865264
0x30 800000 0.272755003766094 0.165080748598182
0x30 700000 0.242248995782792 0.151353950691904
0x30 600000 0.20380949558113 0.13713214081456
0x30 500000 0.171817154452603 0.122871621219846
0x30 400000 0.142587937233181 0.107999113181832
0x30 300000 0.105543789217592 0.0916586269590355
0x30 200000 0.0532122677867485 0.0625415417620969
0x10 2000000 0.350741474071675 0.508314895559276
0x10 1900000 0.342327345749198 0.412932770010025
0x10 1800000 0.327623609124068 0.359624539558314
0x10 1700000 0.314326238444764 0.322410248622654
0x10 1600000 0.297618651132771 0.288812959562885
0x10 1500000 0.281280234954204 0.260256597553094
0x10 1400000 0.198943454726372 0.198361552785239
0x10 1300000 0.247865537849791 0.219868630256335
0x10 1200000 0.229720093625418 0.20616053629653
0x10 1100000 0.211935486655517 0.186418359719478
0x10 1000000 0.19451894736446 0.168403571307292
0x10 900000 0.18084396572646 0.151378331238064
0x10 800000 0.160196171562261 0.134845533837022
0x10 700000 0.0994249532148481 0.0970245452112311
0x10 600000 0.120978133341897 0.114331888952944
0x10 500000 0.102826025754208 0.10329972773053
0x10 400000 0.0858976663799577 0.0919578842309867
0x10 300000 0.0618614181561467 0.0800654723419453
0x10 200000 0.0420862463773834 0.0673687060759751
0-3 1400000 0.46476738101398 0.163662920342279
0-3 1300000 0.626033018513747 0.162643939507602
0-3 1200000 0.417459589444329 0.13493119925201
0-3 1100000 0.388194834481868 0.123045734976539
0-3 1000000 0.371898736641888 0.111601104177061
0-3 900000 0.337588111875183 0.100571439450569
0-3 800000 0.302020138511054 0.089358861279099
0-3 700000 0.268408107174843 0.0824664206794003
0-3 600000 0.296390371956023 0.0712886372994028
0-3 500000 0.197514264192595 0.0700272113736057
0-3 400000 0.162151482792036 0.0656147887524829
0-3 300000 0.119447639319127 0.0608460480390751
0-3 200000 0.0853977172672273 0.055109019878324
0-2 1400000 0.35974807117069 0.142583943530081
0-2 1300000 0.354222679997897 0.129998792408442
0-2 1200000 0.441552641773839 0.122780366157227
0-2 1100000 0.307100816615848 0.108065873126764
0-2 1000000 0.283135208148472 0.0992559353846708
0-2 900000 0.258595377302709 0.0914813099135192
0-2 800000 0.224373140989568 0.0824491412414488
0-2 700000 0.20837081402801 0.0763246467049923
0-2 600000 0.181929257349824 0.0708173622391171
0-2 500000 0.188298952242389 0.0591334994551901
