cores freq perf power
0xF0 2000000 0.866446875042648 0.964682309198625
0xF0 1900000 0.847783962799083 0.88235188669968
0xF0 1800000 0.8617990955466 0.788660322793083
0xF0 1700000 0.865923706140296 0.698085674137015
0xF0 1600000 0.824122434642295 0.605161864803383
0xF0 1500000 0.786988424529443 0.526051890370503
0xF0 1400000 0.74472313325051 0.468366865102258
0xF0 1300000 0.745677230601866 0.502020478387318
0xF0 1200000 0.665937949331466 0.381214585672764
0xF0 1100000 0.622073068316965 0.337100121322631
0xF0 1000000 0.575639243452634 0.298313634338067
0xF0 900000 0.530117631766844 0.262260143169754
0xF0 800000 0.481595091436405 0.232219777235502
0xF0 700000 0.435207584359993 0.209799181075788
0xF0 600000 0.368085690095166 0.20151750956611
0xF0 500000 0.320070841128011 0.1666498363106
0xF0 400000 0.259590937032949 0.143692191853862
0xF0 300000 0.200652214584716 0.120889253780263
0xF0 200000 0.131684458172684 0.0937864787727852
0x70 2000000 0.711902641229481 0.875444544342001
0x70 1900000 0.732588351146659 0.786063943073087
0x70 1800000 0.748865929429109 0.745145520405803
0x70 1700000 0.708657875938457 0.577250486173367
0x70 1600000 0.679698725820556 0.504480995250101
0x70 1500000 0.64771801190492 0.441645744433578
0x70 1400000 0.615059683318819 0.39567077929105
0x70 1300000 0.582809686059041 0.363286070903684
0x70 1200000 0.556373591984612 0.323439563847111
0x70 1100000 0.491865704317966 0.310731504908554
0x70 1000000 0.480376417081928 0.256437153162855
0x70 900000 0.4382714152889 0.226161732709576
0x70 800000 0.394045655143305 0.202747510572192
0x70 700000 0.351263554722697 0.183261961218486
0x70 600000 0.305790267176062 0.16483636277465
0x70 500000 0.262176789844847 0.147219091785013
0x70 400000 0.186917397246384 0.124542226194019
0x70 300000 0.162016004712239 0.107868242892833
0x70 200000 0.108242698291945 0.0858538910201693
0x30 2000000 0.56635760382936 0.747601008738238
0x30 1900000 0.545393860760948 0.598342404070732
0x30 1800000 0.53804051920401 0.53610734849607
0x30 1700000 0.516099596237988 0.469709508987436
0x30 1600000 0.460406075121178 0.409625615629969
0x30 1500000 0.472534730024076 0.359523303239539
0x30 1400000 0.452926808356511 0.323486066314239
0x30 1300000 0.429328258475757 0.299643383822141
0x30 1200000 0.398702411337246 0.268483564125115
0x30 1100000 0.371861429402011 0.240177493351892
0x30 1000000 0.344277727082962 0.214307223084495
0x30 900000 0.2754412687526 0.182316277376973
0x30 800000 0.288627427920325 0.170344799762229
0x30 700000 0.259559256715075 0.156178629961029
0x30 600000 0.224374195129129 0.141522934134072
0x30 500000 0.191909797428691 0.126934131657311
0x30 400000 0.159913511758078 0.111654477815508
0x30 300000 0.121852060949505 0.0949035611264503
0x30 200000 0.0617797775825513 0.0630597271452227
0x10 2000000 0.355305213851992 0.524873079966911
0x10 1900000 0.345370393066597 0.426360618480299
0x10 1800000 0.33339118385294 0.371369198870119
0x10 1700000 0.321320237926364 0.333093747526161
0x10 1600000 0.307423751306271 0.29849686512923
0x10 1500000 0.292780752523044 0.269095688403852
0x10 1400000 0.211035846524842 0.211718617819857
0x10 1300000 0.264339551330786 0.22744979096287
0x10 1200000 0.248652329533632 0.213603776192008
0x10 1100000 0.231599229223233 0.193254682157333
0x10 1000000 0.215213694712483 0.174602456375309
0x10 900000 0.200799342029827 0.157036813545623
0x10 800000 0.181456981196601 0.140118011558428
0x10 700000 0.112187587812763 0.100199959437983
0x10 600000 0.14229321717729 0.118897519153984
0x10 500000 0.122541940423085 0.107478709273883
0x10 400000 0.102999735780411 0.0957568340980605
0x10 300000 0.0767999541993706 0.0834654382317972
0x10 200000 0.051315756871256 0.0703335789798055
0-3 1400000 0.426598110315802 0.16898906714008
0-3 1300000 0.35611431942799 0.166243933429233
0-3 1200000 0.382727797380787 0.139246302178516
0-3 1100000 0.356675626355463 0.126933956405991
0-3 1000000 0.335751346602287 0.115108057997842
0-3 900000 0.304737070993906 0.103686607729799
0-3 800000 0.273053253697794 0.0921249398364804
0-3 700000 0.243933109812474 0.0850647368459353
0-3 600000 0.1796740743069 0.0728533290512293
0-3 500000 0.180659612058973 0.0722979260353593
0-3 400000 0.149419561460086 0.0677805739900673
0-3 300000 0.11263760285068 0.0629037505170264
0-3 200000 0.0803144117452101 0.0570558268648422
0-2 1400000 0.322940281155847 0.147190983837392
0-2 1300000 0.312957920628589 0.134206347134197
0-2 1200000 0.25362366851684 0.124529873204194
0-2 1100000 0.272430614410725 0.111640381582957
0-2 1000000 0.25176553328574 0.102551631787125
0-2 900000 0.230613760054461 0.0945257785919505
0-2 800000 0.204367077166656 0.0851624032912252
0-2 700000 0.187491246627322 0.0788911743797069
0-2 600000 0.164537258048537 0.0732248592305279
0-2 500000 0.11553475029489 0.058890536315754
0-2 400000 0.11436675521455 0.0648144340965322
0-2 300000 0.0918784250376269 0.0607250561233962
0-2 200000 0.0618674582880845 0.0562359429438545
0-1 1400000 0.235952101686705 0.128769350445296
0-1 1300000 0.21785361169076 0.117898682189938
0-1 1200000 0.204704104403119 0.107159195088773
0-1 1100000 0.156918498424079 0.0913990973460679
0-1 1000000 0.180447794460759 0.0915472942883166
0-1 900000 0.165594393450797 0.085216589040752
0-1 800000 0.150532955634604 0.0769147994913194
0-1 700000 0.132137946383072 0.071705618357302
0-1 600000 0.116617969561447 0.0670714108831971
0-1 500000 0.101657279503714 0.0634024148117395
0-1 400000 0.062604693754052 0.0485986883512284
0-1 300000 0.0647743094558702 0.057202088922765
0-1 200000 0.0451956753965602 0.0535016713992097
0-0 1400000 0.132169444833916 0.105602108733113
0-0 1300000 0.125215213691189 0.0971862560486276
0-0 1200000 0.118237297509746 0.089235629643906
0-0 1100000 0.112226561652643 0.0832658414433154
0-0 1000000 0.0742080588492408 0.0646427364723143
0-0 900000 0.0968950268277996 0.0727783864288292
0-0 800000 0.0881013888708249 0.0662511337368603
0-0 700000 0.0774085030237695 0.0624867730254366
0-0 600000 0.0679789740432888 0.0593567033601583
0-0 500000 0.0581149077038885 0.0569509250947351
0-0 400000 0.0483534242837844 0.0547196411166593
0-0 300000 0.0228979661226749 0.0391787828442156
0-0 200000 0.0252080394592347 0.0498162025630439
