cores freq perf power
0xF0 2000000 0.88465056321647 0.986429553954531
0xF0 1900000 0.918500633932909 0.906883821142425
0xF0 1800000 0.930735587728889 0.815583297627053
0xF0 1700000 0.93173728187624 0.721099890706577
0xF0 1600000 0.891057127071162 0.625447667305378
0xF0 1500000 0.854642595302535 0.544244040145646
0xF0 1400000 0.814051493366123 0.484737394383432
0xF0 1300000 0.77553063209732 0.445386235203701
0xF0 1200000 0.738401358485058 0.39484965997103
0xF0 1100000 0.693995721640783 0.349385098224126
0xF0 1000000 0.646671107639674 0.309355288557597
0xF0 900000 0.599025244059287 0.272069375128082
0xF0 800000 0.549826437159495 0.240742117369424
0xF0 700000 0.502629781016819 0.217558362556608
0xF0 600000 0.442127757992936 0.19674104001676
0xF0 500000 0.374729275657749 0.172865765574752
0xF0 400000 0.309421169748741 0.149026231239951
0xF0 300000 0.240708358163621 0.125311933794687
0xF0 200000 0.159786713657446 0.0972210596463737
0x70 2000000 0.793564861308801 0.901660727731707
0x70 1900000 0.813050132882406 0.812682973856471
0x70 1800000 0.813219646576025 0.685405136530621
0x70 1700000 0.785675629533494 0.597197185013616
0x70 1600000 0.756225228111636 0.522221059640375
0x70 1500000 0.72695595357093 0.45742431874077
0x70 1400000 0.693440348570024 0.409954101312991
0x70 1300000 0.663166343096877 0.376568511525144
0x70 1200000 0.638391737505979 0.335409182388165
0x70 1100000 0.599491817661231 0.298892501942427
0x70 1000000 0.557952828768668 0.266186783603123
0x70 900000 0.514063787890934 0.234791319341931
0x70 800000 0.462097190055096 0.210337377400791
0x70 700000 0.418217027468532 0.190134235616261
0x70 600000 0.369580889961354 0.171027049113772
0x70 500000 0.319231275840007 0.152766463687283
0x70 400000 0.257918341221687 0.133155050848651
0x70 300000 0.202563632256229 0.111894287325836
0x70 200000 0.135719507705937 0.0890107734820694
0x30 2000000 0.656470647143782 0.772187568349575
0x30 1900000 0.635013648620539 0.619341155461263
0x30 1800000 0.629606301547663 0.555437404643811
0x30 1700000 0.606199900884811 0.486900738861771
0x30 1600000 0.587345725398471 0.426045213464563
0x30 1500000 0.559809291513528 0.373048514184968
0x30 1400000 0.540582623496073 0.335681253910412
0x30 1300000 0.517214261890358 0.311059822473631
0x30 1200000 0.482587396458063 0.27874748657066
0x30 1100000 0.454097178101211 0.249437123053665
0x30 1000000 0.423024762359888 0.22263495300824
0x30 900000 0.397273167203301 0.198116387817606
0x30 800000 0.361666698424741 0.176803028773804
0x30 700000 0.328064418796019 0.162200776517253
0x30 600000 0.286755032315435 0.147032615693679
0x30 500000 0.247844818761401 0.131800645538373
0x30 400000 0.208520456163067 0.115955909671788
