cores freq perf power
0xF0 2000000 0.827460238582384 0.860895465611606
0xF0 1900000 0.765951160944702 0.749616636780719
0xF0 1800000 0.706815498711804 0.646606042877655
0xF0 1700000 0.650053251883691 0.551863683902415
0xF0 1600000 0.595664420460362 0.465389559854997
0xF0 1500000 0.543649004441818 0.387183670735402
0xF0 1400000 0.494007003828057 0.31724601654363
0xF0 1300000 0.446738418619081 0.255576597279681
0xF0 1200000 0.40184324881489 0.202175412943556
0xF0 1100000 0.359321494415483 0.157042463535253
0xF0 1000000 0.31917315542086 0.120177749054773
0xF0 900000 0.281398231831021 0.0915812695021167
0xF0 800000 0.245996723645967 0.0712530248772831
0xF0 700000 0.212968630865697 0.0591930151802725
0xF0 600000 0.182313953490212 0.0554012404110849
0xF0 500000 0.15403269151951 0.0598777005697203
0xF0 400000 0.128124844953594 0.0726223956561787
0xF0 300000 0.104590413792461 0.0936353256704602
0xF0 200000 0.0834293980361131 0.122916490612565
0x70 2000000 0.827460238582384 0.860895465611606
0x70 1900000 0.765951160944702 0.749616636780719
0x70 1800000 0.706815498711804 0.646606042877655
0x70 1700000 0.650053251883691 0.551863683902415
0x70 1600000 0.595664420460362 0.465389559854997
0x70 1500000 0.543649004441818 0.387183670735402
0x70 1400000 0.494007003828057 0.31724601654363
0x70 1300000 0.446738418619081 0.255576597279681
0x70 1200000 0.40184324881489 0.202175412943556
0x70 1100000 0.359321494415483 0.157042463535253
0x70 1000000 0.31917315542086 0.120177749054773
0x70 900000 0.281398231831021 0.0915812695021167
0x70 800000 0.245996723645967 0.0712530248772831
0x70 700000 0.212968630865697 0.0591930151802725
0x70 600000 0.182313953490212 0.0554012404110849
0x70 500000 0.15403269151951 0.0598777005697203
0x70 400000 0.128124844953594 0.0726223956561787
0x70 300000 0.104590413792461 0.0936353256704602
0x70 200000 0.0834293980361131 0.122916490612565
0x30 2000000 0.827460238582384 0.860895465611606
0x30 1900000 0.765951160944702 0.749616636780719
0x30 1800000 0.706815498711804 0.646606042877655
0x30 1700000 0.650053251883691 0.551863683902415
0x30 1600000 0.595664420460362 0.465389559854997
0x30 1500000 0.543649004441818 0.387183670735402
0x30 1400000 0.494007003828057 0.31724601654363
0x30 1300000 0.446738418619081 0.255576597279681
0x30 1200000 0.40184324881489 0.202175412943556
0x30 1100000 0.359321494415483 0.157042463535253
0x30 1000000 0.31917315542086 0.120177749054773
0x30 900000 0.281398231831021 0.0915812695021167
0x30 800000 0.245996723645967 0.0712530248772831
0x30 700000 0.212968630865697 0.0591930151802725
0x30 600000 0.182313953490212 0.0554012404110849
0x30 500000 0.15403269151951 0.0598777005697203
0x30 400000 0.128124844953594 0.0726223956561787
0x30 300000 0.104590413792461 0.0936353256704602
0x30 200000 0.0834293980361131 0.122916490612565
0x10 2000000 0.827460238582384 0.860895465611606
0x10 1900000 0.765951160944702 0.749616636780719
0x10 1800000 0.706815498711804 0.646606042877655
0x10 1700000 0.650053251883691 0.551863683902415
0x10 1600000 0.595664420460362 0.465389559854997
0x10 1500000 0.543649004441818 0.387183670735402
0x10 1400000 0.494007003828057 0.31724601654363
0x10 1300000 0.446738418619081 0.255576597279681
0x10 1200000 0.40184324881489 0.202175412943556
0x10 1100000 0.359321494415483 0.157042463535253
0x10 1000000 0.31917315542086 0.120177749054773
0x10 900000 0.281398231831021 0.0915812695021167
0x10 800000 0.245996723645967 0.0712530248772831
0x10 700000 0.212968630865697 0.0591930151802725
0x10 600000 0.182313953490212 0.0554012404110849
0x10 500000 0.15403269151951 0.0598777005697203
0x10 400000 0.128124844953594 0.0726223956561787
0x10 300000 0.104590413792461 0.0936353256704602
0x10 200000 0.0834293980361131 0.122916490612565
