cores freq perf power
0xF0 2000000 0.934251958846555 0.891035991529288
0xF0 1900000 0.872449380396118 0.781141402472253
0xF0 1800000 0.812394232577545 0.679191197650793
0xF0 1700000 0.754086515390835 0.585185377064909
0xF0 1600000 0.697526228835989 0.499123940714601
0xF0 1500000 0.642713372913006 0.421006888599869
0xF0 1400000 0.589647947621887 0.350834220720713
0xF0 1300000 0.538329952962631 0.288605937077132
0xF0 1200000 0.488759388935239 0.234322037669128
0xF0 1100000 0.44093625553971 0.187982522496699
0xF0 1000000 0.394860552776045 0.149587391559847
0xF0 900000 0.350532280644243 0.11913664485857
0xF0 800000 0.307951439144305 0.0966302823928689
0xF0 700000 0.26711802827623 0.0820683041627439
0xF0 600000 0.228032048040019 0.0754507101681948
0xF0 500000 0.190693498435671 0.0767775004092215
0xF0 400000 0.155102379463187 0.0860486748858241
0xF0 300000 0.121258691122567 0.103264233598003
0xF0 200000 0.0891624334138095 0.128424176545757
0x70 2000000 0.934251958846555 0.891035991529288
0x70 1900000 0.872449380396118 0.781141402472253
0x70 1800000 0.812394232577545 0.679191197650793
0x70 1700000 0.754086515390835 0.585185377064909
0x70 1600000 0.697526228835989 0.499123940714601
0x70 1500000 0.642713372913006 0.421006888599869
0x70 1400000 0.589647947621887 0.350834220720713
0x70 1300000 0.538329952962631 0.288605937077132
0x70 1200000 0.488759388935239 0.234322037669128
0x70 1100000 0.44093625553971 0.187982522496699
0x70 1000000 0.394860552776045 0.149587391559847
0x70 900000 0.350532280644243 0.11913664485857
0x70 800000 0.307951439144305 0.0966302823928689
0x70 700000 0.26711802827623 0.0820683041627439
0x70 600000 0.228032048040019 0.0754507101681948
0x70 500000 0.190693498435671 0.0767775004092215
0x70 400000 0.155102379463187 0.0860486748858241
0x70 300000 0.121258691122567 0.103264233598003
0x70 200000 0.0891624334138095 0.128424176545757
0x30 2000000 0.934251958846555 0.891035991529288
0x30 1900000 0.872449380396118 0.781141402472253
0x30 1800000 0.812394232577545 0.679191197650793
0x30 1700000 0.754086515390835 0.585185377064909
0x30 1600000 0.697526228835989 0.499123940714601
0x30 1500000 0.642713372913006 0.421006888599869
0x30 1400000 0.589647947621887 0.350834220720713
0x30 1300000 0.538329952962631 0.288605937077132
0x30 1200000 0.488759388935239 0.234322037669128
0x30 1100000 0.44093625553971 0.187982522496699
0x30 1000000 0.394860552776045 0.149587391559847
0x30 900000 0.350532280644243 0.11913664485857
0x30 800000 0.307951439144305 0.0966302823928689
0x30 700000 0.26711802827623 0.0820683041627439
0x30 600000 0.228032048040019 0.0754507101681948
0x30 500000 0.190693498435671 0.0767775004092215
0x30 400000 0.155102379463187 0.0860486748858241
0x30 300000 0.121258691122567 0.103264233598003
0x30 200000 0.0891624334138095 0.128424176545757
0x10 2000000 0.934251958846555 0.891035991529288
0x10 1900000 0.872449380396118 0.781141402472253
0x10 1800000 0.812394232577545 0.679191197650793
0x10 1700000 0.754086515390835 0.585185377064909
0x10 1600000 0.697526228835989 0.499123940714601
0x10 1500000 0.642713372913006 0.421006888599869
0x10 1400000 0.589647947621887 0.350834220720713
0x10 1300000 0.538329952962631 0.288605937077132
0x10 1200000 0.488759388935239 0.234322037669128
0x10 1100000 0.44093625553971 0.187982522496699
0x10 1000000 0.394860552776045 0.149587391559847
0x10 900000 0.350532280644243 0.11913664485857
0x10 800000 0.307951439144305 0.0966302823928689
0x10 700000 0.26711802827623 0.0820683041627439
0x10 600000 0.228032048040019 0.0754507101681948
0x10 500000 0.190693498435671 0.0767775004092215
0x10 400000 0.155102379463187 0.0860486748858241
0x10 300000 0.121258691122567 0.103264233598003
0x10 200000 0.0891624334138095 0.128424176545757
0xF 1400000 0.589647947621887 0.350834220720713
0xF 1300000 0.538329952962631 0.288605937077132
0xF 1200000 0.488759388935239 0.234322037669128
0xF 1100000 0.44093625553971 0.187982522496699
0xF 1000000 0.394860552776045 0.149587391559847
0xF 900000 0.350532280644243 0.11913664485857
0xF 800000 0.307951439144305 0.0966302823928689
0xF 700000 0.26711802827623 0.0820683041627439
0xF 600000 0.228032048040019 0.0754507101681948
0xF 500000 0.190693498435671 0.0767775004092215
0xF 400000 0.155102379463187 0.0860486748858241
0xF 300000 0.121258691122567 0.103264233598003
0xF 200000 0.0891624334138095 0.128424176545757
0x7 1400000 0.589647947621887 0.350834220720713
0x7 1300000 0.538329952962631 0.288605937077132
0x7 1200000 0.488759388935239 0.234322037669128
0x7 1100000 0.44093625553971 0.187982522496699
0x7 1000000 0.394860552776045 0.149587391559847
0x7 900000 0.350532280644243 0.11913664485857
0x7 800000 0.307951439144305 0.0966302823928689
0x7 700000 0.26711802827623 0.0820683041627439
0x7 600000 0.228032048040019 0.0754507101681948
0x7 500000 0.190693498435671 0.0767775004092215
0x7 400000 0.155102379463187 0.0860486748858241
0x7 300000 0.121258691122567 0.103264233598003
0x7 200000 0.0891624334138095 0.128424176545757
0x3 1400000 0.589647947621887 0.350834220720713
0x3 1300000 0.538329952962631 0.288605937077132
0x3 1200000 0.488759388935239 0.234322037669128
0x3 1100000 0.44093625553971 0.187982522496699
0x3 1000000 0.394860552776045 0.149587391559847
0x3 900000 0.350532280644243 0.11913664485857
0x3 800000 0.307951439144305 0.0966302823928689
0x3 700000 0.26711802827623 0.0820683041627439
0x3 600000 0.228032048040019 0.0754507101681948
0x3 500000 0.190693498435671 0.0767775004092215
0x3 400000 0.155102379463187 0.0860486748858241
0x3 300000 0.121258691122567 0.103264233598003
0x3 200000 0.0891624334138095 0.128424176545757
0x1 1400000 0.589647947621887 0.350834220720713
0x1 1300000 0.538329952962631 0.288605937077132
0x1 1200000 0.488759388935239 0.234322037669128
0x1 1100000 0.44093625553971 0.187982522496699
0x1 1000000 0.394860552776045 0.149587391559847
0x1 900000 0.350532280644243 0.11913664485857
0x1 800000 0.307951439144305 0.0966302823928689
0x1 700000 0.26711802827623 0.0820683041627439
0x1 600000 0.228032048040019 0.0754507101681948
0x1 500000 0.190693498435671 0.0767775004092215
0x1 400000 0.155102379463187 0.0860486748858241
0x1 300000 0.121258691122567 0.103264233598003
0x1 200000 0.0891624334138095 0.128424176545757
